Trigger Time: 999.6875 ms
time,x,y,z
159.375,40,-10,-24
159.6875,28,-10,-30
160,18,-16,-14
160.3125,34,-14,-36
160.625,34,-12,2
160.9375,40,0,-28
161.25,36,-2,-26
161.5625,30,-6,-20
161.875,32,0,-26
162.1875,32,2,-20
162.5,28,0,-36
162.8125,20,-12,-34
163.125,22,14,-44
163.4375,26,0,-32
163.75,44,-10,-24
164.0625,30,2,-34
164.375,28,2,-36
164.6875,32,-10,-54
165,26,0,-34
165.3125,40,-4,-30
165.625,32,-4,-14
165.9375,28,-4,-38
166.25,52,-10,-54
166.5625,24,12,-46
166.875,32,0,-36
167.1875,14,10,-20
167.5,30,0,-28
167.8125,16,-10,-16
168.125,24,2,-38
168.4375,22,0,-26
168.75,36,-4,-16
169.0625,12,12,-28
169.375,34,-6,-34
169.6875,54,8,-24
170,42,10,-40
170.3125,26,4,-30
170.625,26,-6,0
170.9375,36,0,-10
171.25,22,0,-28
171.5625,26,-4,-40
171.875,28,8,-42
172.1875,42,-2,-28
172.5,38,-10,-14
172.8125,26,-6,-32
173.125,24,-16,-38
173.4375,34,-6,-22
173.75,24,0,-54
174.0625,24,0,-34
174.375,24,0,-18
174.6875,30,-6,-32
175,32,-8,-28
175.3125,18,0,-26
175.625,32,-6,-32
175.9375,44,-8,-30
176.25,20,8,-46
176.5625,26,0,-22
176.875,28,12,2
177.1875,48,-6,-48
177.5,30,0,-26
177.8125,28,0,-42
178.125,20,-8,-34
178.4375,30,-6,-24
178.75,22,-8,-24
179.0625,30,-8,-22
179.375,28,-10,-22
179.6875,36,-8,-26
180,18,16,-26
180.3125,22,-8,-20
180.625,26,0,-26
180.9375,30,0,-8
181.25,28,-14,-22
181.5625,28,8,-26
181.875,30,0,-20
182.1875,24,0,-40
182.5,24,-14,-34
182.8125,38,-14,-24
183.125,30,0,-30
183.4375,26,-14,-46
183.75,36,-10,-30
184.0625,14,12,-24
184.375,26,0,-32
184.6875,24,0,-32
185,32,0,-30
185.3125,32,-4,-34
185.625,28,-10,-26
185.9375,32,-2,-10
186.25,36,-6,-24
186.5625,28,2,-42
186.875,30,-10,-4
187.1875,44,-8,-8
187.5,34,-12,-28
187.8125,28,10,-30
188.125,28,-8,-26
188.4375,36,-4,-28
188.75,22,4,-38
189.0625,26,0,-24
189.375,22,6,-42
189.6875,30,0,-38
190,12,26,-36
